marca,modelo,tipo_vehiculo,año,precio,tipo_carroceria,combustible,transmision,cilindros,rendimiento_ciudad_kmL,capacidad_pasajeros,cajuela_litros,segmento,holograma,largo_m,ancho_m,altura_cm,costo_mantenimiento_anual,disponibilidad_refacciones,kilometraje_km,altura_libre_suelo_cm,tipo_aspiracion,estrellas_seguridad,conectividad,emisiones_CO2_gkm
Chevrolet,Cavalier,seminuevo,2021,187999,sedan,gasolina,manual,4,14.8,5,480,sedán_económico,0,4.63,1.78,151,4000,alta,60000,16,Turbo,4,No,145.6
Renault,Kwid,seminuevo,2023,189999,hatchback,gasolina,manual,3,14.5,5,280,compacto_urbano,0,3.73,1.56,160,3800,alta,45000,14,Natural,4,Sí,121.0
Honda,City,seminuevo,2021,196999,sedan,gasolina,automática,4,15.8,5,506,sedán_económico,0,4.44,1.69,149,4100,alta,68000,15,Natural,5,Sí,131.0
Chevrolet,Onix,seminuevo,2023,200500,hatchback,gasolina,manual,4,14.8,5,300,compacto_urbano,0,3.82,1.72,155,3600,alta,38000,15,Turbo,4,Sí,128.9
Volkswagen,Vento,seminuevo,2022,205999,sedan,gasolina,manual,4,15.5,5,480,sedán_económico,0,4.56,1.78,151,4400,alta,62000,15,Turbo,4,No,149.5
Hyundai,Grand i10,seminuevo,2022,209999,hatchback,gasolina,manual,4,15.2,5,311,compacto_urbano,0,3.77,1.66,161,3500,alta,52000,15,Natural,5,No,147.1
Nissan,Versa,seminuevo,2022,225999,sedan,gasolina,manual,4,16.5,5,506,sedán_económico,0,4.63,1.73,152,4200,alta,55000,16,Turbo,5,No,155.7
Suzuki,Ertiga,seminuevo,2021,236999,minivan,gasolina,automática,4,14.5,7,550,familiar_7plazas,0,4.41,1.76,163,3800,media,68000,16,Turbo,3,Sí,164.3
Renault,Kwid,nuevo,2025,264029,hatchback,gasolina,manual,3,14.5,5,280,compacto_urbano,00,3.73,1.56,160,3500,alta,0,15,Natural,5,Sí,136.9
Peugeot,2008,seminuevo,2021,268999,suv,gasolina,automática,4,15.2,5,405,suv_compacto,0,4.25,1.84,157,4300,media,70000,19,Turbo,4,No,161.5
Nissan,Kicks,seminuevo,2022,269999,suv,gasolina,automática,4,16.5,5,410,suv_compacto,0,4.3,1.79,170,4000,alta,50000,19,Natural,4,Sí,170.9
Audi,Q3,seminuevo,2019,271999,suv,gasolina,automática,4,13.2,5,589,suv_premium,0,4.48,1.85,159,8500,media,125000,22,Natural,4,No,185.3
Hyundai,Grand i10,nuevo,2025,275900,hatchback,gasolina,manual,4,15.2,5,311,compacto_urbano,00,3.77,1.66,161,3200,alta,0,16,Turbo,5,Sí,121.1
Kia,Sportage,seminuevo,2020,286999,suv,gasolina,automática,4,14.2,5,602,suv_mediano,0,4.6,1.86,170,5000,media,95000,19,Natural,4,No,169.9
Mitsubishi,Xpander,seminuevo,2022,292500,minivan,gasolina,automática,4,13.8,7,700,familiar_7plazas,0,4.48,1.81,167,4200,media,52000,15,Turbo,4,Sí,192.5
MG,MG5,nuevo,2025,299900,sedan,gasolina,manual,4,16.8,5,500,compacto_urbano,00,4.53,1.78,152,2800,media,0,14,Turbo,4,Sí,141.8
Mazda,CX-5,seminuevo,2019,299999,suv,gasolina,automática,4,14.8,5,580,suv_mediano,0,4.57,1.84,169,5200,media,105000,22,Natural,4,No,171.0
Toyota,Prius,seminuevo,2022,299999,sedan,híbrido,automática,4,25.0,5,420,sedán_eficiente,Exento,4.6,1.78,146,3200,alta,48000,13,Eléctrico,4,Sí,93.6
Chevrolet,Cavalier,nuevo,2025,305500,sedan,gasolina,manual,4,14.8,5,480,sedán_económico,00,4.63,1.78,151,3800,alta,0,16,Natural,5,No,152.4
Hyundai,Creta,seminuevo,2021,311999,suv,gasolina,automática,4,14.9,5,429,suv_compacto,0,4.27,1.82,168,4200,media,65000,22,Natural,3,No,160.3
Kia,Seltos,seminuevo,2021,311999,suv,gasolina,automática,4,15.2,5,405,suv_compacto,0,4.38,1.83,165,4400,media,58000,18,Natural,5,No,200.3
Skoda,Octavia,seminuevo,2020,318999,sedan,gasolina,automática,4,15.8,5,600,sedán_familiar,0,4.69,1.82,147,4500,media,85000,15,Turbo,4,Sí,147.9
Nissan,Versa,nuevo,2025,324900,sedan,gasolina,manual,4,16.5,5,506,sedán_económico,00,4.63,1.73,152,4000,alta,0,13,Turbo,4,Sí,133.6
Toyota,Corolla,seminuevo,2021,328500,sedan,gasolina,automática,4,16.2,5,450,sedán_familiar,0,4.63,1.8,145,4700,alta,75000,15,Natural,4,No,126.2
Mercedes-Benz,GLA,seminuevo,2019,333999,suv,gasolina,automática,4,13.5,5,421,suv_premium,0,4.43,1.81,156,7500,media,118000,18,Natural,4,No,207.9
Seat,Ibiza,nuevo,2025,342900,hatchback,gasolina,manual,4,16.5,5,355,compacto_urbano,00,4.09,1.75,148,3400,media,0,15,Natural,3,Sí,133.5
Mazda,CX-30,seminuevo,2022,345000,suv,gasolina,automática,4,14.8,5,430,suv_compacto,0,4.4,1.83,160,5000,media,42000,22,Turbo,5,Sí,164.6
Honda,Civic Hybrid,seminuevo,2020,349999,sedan,híbrido,automática,4,21.8,5,450,sedán_eficiente,Exento,4.65,1.8,145,3700,alta,85000,16,Eléctrico,5,Sí,73.9
Volkswagen,Vento,nuevo,2025,355900,sedan,gasolina,manual,4,15.5,5,480,sedán_económico,00,4.56,1.78,151,4200,alta,0,15,Natural,4,Sí,153.9
Suzuki,Ertiga,nuevo,2025,356900,minivan,gasolina,automática,4,14.5,7,550,familiar_7plazas,00,4.41,1.76,163,3600,media,0,17,Natural,4,No,190.2
Jeep,Renegade,seminuevo,2021,356999,suv,gasolina,automática,4,13.8,5,351,suv_compacto,0,4.26,1.81,165,5200,media,60000,19,Turbo,4,Sí,200.4
Toyota,Corolla Hybrid,seminuevo,2021,359999,sedan,híbrido,automática,4,22.5,5,430,sedán_eficiente,Exento,4.63,1.8,145,3600,alta,70000,14,Eléctrico,4,No,99.2
Citroën,C4,nuevo,2025,365500,sedan,gasolina,automática,4,15.8,5,470,sedán_económico,00,4.6,1.82,151,3900,media,0,13,Turbo,4,Sí,141.4
Nissan,Kicks,nuevo,2025,369900,suv,gasolina,automática,4,16.5,5,410,suv_compacto,00,4.3,1.79,170,3800,alta,0,20,Turbo,4,Sí,208.7
Peugeot,2008,nuevo,2025,375000,suv,gasolina,automática,4,15.2,5,405,suv_compacto,00,4.25,1.84,157,4100,media,0,22,Turbo,5,No,178.9
Toyota,Corolla Cross,seminuevo,2021,375800,suv,gasolina,automática,4,15.5,5,430,suv_compacto,0,4.4,1.83,162,4800,alta,72000,18,Turbo,5,No,187.6
Hyundai,Tucson,seminuevo,2021,376999,suv,gasolina,automática,4,14.5,5,620,suv_mediano,0,4.67,1.86,167,4800,media,80000,19,Natural,3,No,201.5
Nissan,Qashqai,seminuevo,2020,389999,suv,gasolina,automática,4,13.8,5,610,suv_mediano,0,4.64,1.86,168,5100,alta,92000,20,Turbo,5,Sí,190.9
Ford,Ranger,seminuevo,2021,389999,pickup,gasolina,automática,6,10.5,2,1700,pickup,0,5.36,1.86,180,6800,alta,75000,23,Natural,4,No,214.5
Honda,Accord,seminuevo,2020,389999,sedan,gasolina,automática,4,15.8,5,530,sedán_familiar,0,4.88,1.86,147,5200,alta,80000,16,Natural,4,No,143.1
